date,USD,SAR,MYR,SGD,THB,TRY,JPY,VND,IDR
2023-08-03,0.272255,1.02135,1.237129,0.3651,9.411858,7.402835,38.823249,6468.772141,4129.559589
2023-08-04,0.272254,1.021361,1.240129,0.364577,9.441884,7.334726,38.593436,6461.958571,4125.443945
2023-08-05,0.272254,1.021244,1.240127,0.364576,9.441867,7.334713,38.593367,6461.947127,4125.436639
2023-08-06,0.272257,1.0214,1.240128,0.364687,9.431054,7.350758,38.628423,6462.028813,4130.14439
2023-08-07,0.272255,1.021356,1.241224,0.365065,9.482559,7.35372,38.803299,6460.614269,4148.895948
2023-08-08,0.272254,1.02123,1.247603,0.366952,9.531672,7.360259,39.008232,6463.301565,4141.440792
2023-08-09,0.272258,1.021493,1.24448,0.36652,9.551234,7.349752,39.131294,6464.775978,4142.139471
2023-08-10,0.272294,1.021639,1.244932,0.367483,9.565679,7.385391,39.443427,6466.303284,4156.160445
2023-08-11,0.272254,1.02149,1.24884,0.368116,9.548049,7.372122,39.450979,6468.755366,4171.897992
2023-08-12,0.272254,1.021487,1.248839,0.368116,9.548046,7.37212,39.450967,6468.753475,4171.896773
2023-08-13,0.272256,1.021509,1.248831,0.368432,9.562179,7.382819,39.429059,6468.801015,4172.049948
2023-08-14,0.272257,1.021341,1.25769,0.369097,9.594268,7.367379,39.597587,6486.519115,4180.217845
2023-08-15,0.272256,1.021191,1.262042,0.369785,9.643189,7.368857,39.64387,6527.336505,4170.348645
2023-08-16,0.272253,1.021043,1.260396,0.370383,9.664718,7.373339,39.840031,6519.102035,4184.258892
2023-08-17,0.27226,1.021082,1.266689,0.369719,9.659852,7.386441,39.672336,6497.478855,4182.386164
2023-08-18,0.272254,1.020989,1.266663,0.369898,9.68421,7.379662,39.589817,6485.088711,4171.202525
2023-08-19,0.272254,1.021035,1.266663,0.369898,9.68421,7.379662,39.589817,6485.088711,4171.202525
2023-08-20,0.272255,1.021037,1.265305,0.3694,9.632274,7.389923,39.561639,6485.111952,4161.416297
2023-08-21,0.272257,1.021169,1.265734,0.36955,9.580911,7.408263,39.815615,6485.173205,4172.264224
2023-08-22,0.272257,1.021274,1.265458,0.369632,9.53718,7.408095,39.686414,6485.169528,4172.071278
2023-08-23,0.272255,1.021267,1.265439,0.36817,9.512309,7.404888,39.389223,6519.134164,4165.77982
2023-08-24,0.272255,1.021365,1.264619,0.369532,9.528817,7.054242,39.76886,6535.48633,4150.80294
2023-08-25,0.272254,1.021362,1.263363,0.369218,9.569843,7.228247,39.867586,6535.467263,4164.948061
2023-08-26,0.272254,1.021333,1.263361,0.369217,9.569826,7.228234,39.867516,6535.455689,4164.940685
2023-08-27,0.272254,1.021498,1.263363,0.369045,9.552726,7.176273,39.894807,6535.467263,4164.131297
2023-08-28,0.272255,1.021296,1.267212,0.36896,9.594259,7.164257,39.87584,6559.987243,4154.926305
2023-08-29,0.272255,1.021211,1.264762,0.367696,9.531699,7.229277,39.747232,6585.855904,4138.70268
2023-08-30,0.272259,1.021327,1.26322,0.367477,9.53711,7.265596,39.776234,6569.619914,4144.60522
2023-08-31,0.272257,1.021226,1.263259,0.367764,9.531711,7.267317,39.606243,6557.299024,4148.64532
2023-09-01,0.27225,1.021196,1.265284,0.36841,9.625964,7.26922,39.804095,6557.14866,4145.065384
2023-09-02,0.272249,1.021085,1.26528,0.368409,9.625928,7.269193,39.803945,6557.124021,4145.049809
2023-09-03,0.27225,1.025789,1.265284,0.368628,9.558657,7.237042,39.765438,6557.149839,4149.095435
2023-09-04,0.272258,1.021126,1.26736,0.369045,9.602456,7.290024,39.897852,6557.323814,4147.571974
2023-09-05,0.272257,1.021239,1.264636,0.370513,9.653976,7.292573,40.150451,6551.869634,4170.980378
2023-09-06,0.272294,1.021352,1.272704,0.371443,9.683317,7.303338,40.221941,6551.397396,4177.809237
2023-09-07,0.272261,1.021242,1.273772,0.37178,9.703655,7.313767,40.114213,6553.315364,4178.929685
2023-09-08,0.272254,1.021175,1.273197,0.371519,9.740566,7.308667,40.235058,6549.749021,4187.728339
2023-09-09,0.272254,1.021175,1.273197,0.371519,9.740566,7.308667,40.235058,6549.749021,4187.728339
2023-09-10,0.272252,1.021162,1.273184,0.371341,9.667646,7.307866,40.053553,6549.698182,4172.259156
2023-09-11,0.27225,1.021164,1.272632,0.370424,9.667525,7.318103,39.934272,6557.135105,4180.00007
2023-09-12,0.27225,1.021212,1.273309,0.370458,9.69165,7.33011,40.064012,6565.304379,4181.103816
2023-09-13,0.272259,1.021211,1.273358,0.370574,9.73327,7.321172,40.116634,6565.517547,4181.892993
2023-09-14,0.272258,1.02123,1.274714,0.371461,9.744194,7.337189,40.153406,6596.8104,4193.317118
2023-09-15,0.272259,1.021253,1.275271,0.371226,9.714878,7.349094,40.233064,6606.361328,4183.801959
2023-09-16,0.272254,1.021235,1.275248,0.371219,9.714702,7.348961,40.232336,6606.241712,4183.726206
2023-09-17,0.272259,1.021253,1.275255,0.371041,9.725204,7.332846,40.260269,6606.361328,4179.990335
2023-09-18,0.272265,1.021279,1.276648,0.371228,9.712638,7.349107,40.188048,6639.176168,4187.840403
2023-09-19,0.272264,1.021201,1.278691,0.371478,9.806012,7.357484,40.226243,6639.168719,4190.762547
2023-09-20,0.272257,1.021275,1.275802,0.371986,9.866888,7.358519,40.38312,6613.132163,4184.051671
2023-09-21,0.272259,1.021275,1.277302,0.372099,9.836633,7.383427,40.198976,6622.701285,4194.872084
